2023-03-07 14:24:14,841 INFO    Thread-79 :806093 [wandb_setup.py:_flush():68] Configure stats pid to 806093
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_setup.py:_flush():68] Loading settings from /home/xiaodan8/.config/wandb/settings
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_setup.py:_flush():68] Loading settings from /data/xiaodan8/research/self-attentive-parser-v2/wandb/settings
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'parsing', 'entity': 'xiaodan8', 'root_dir': '/data/xiaodan8/research/self-attentive-parser-v2', 'run_id': 'uiviz2v0', 'sweep_param_path': '/data/xiaodan8/research/self-attentive-parser-v2/wandb/sweep-vc44xp01/config-uiviz2v0.yaml', 'sweep_id': 'vc44xp01'}
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src_6/main_wandb.py', 'program': 'src_6/main_wandb.py'}
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_init.py:_log_setup():476] Logging user logs to /data/xiaodan8/research/self-attentive-parser-v2/wandb/run-20230307_142414-uiviz2v0/logs/debug.log
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_init.py:_log_setup():477] Logging internal logs to /data/xiaodan8/research/self-attentive-parser-v2/wandb/run-20230307_142414-uiviz2v0/logs/debug-internal.log
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_init.py:init():516] calling init triggers
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_init.py:init():520] wandb.init called with sweep_config: {'optimizer': 'adam', 'weight_activity': 4.062579067682108, 'weight_phrase': 1.7125149447503576}
config: {}
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_init.py:init():569] starting backend
2023-03-07 14:24:14,842 INFO    Thread-79 :806093 [wandb_init.py:init():573] setting up manager
2023-03-07 14:24:14,845 INFO    Thread-79 :806093 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-07 14:24:14,847 INFO    Thread-79 :806093 [wandb_init.py:init():580] backend started and connected
2023-03-07 14:24:14,850 INFO    Thread-79 :806093 [wandb_run.py:_config_callback():1160] config_cb None None {'optimizer': 'adam', 'weight_activity': 4.062579067682108, 'weight_phrase': 1.7125149447503576}
2023-03-07 14:24:14,851 INFO    Thread-79 :806093 [wandb_init.py:init():658] updated telemetry
2023-03-07 14:24:15,712 INFO    Thread-79 :806093 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2023-03-07 14:24:15,864 INFO    Thread-79 :806093 [wandb_run.py:_on_init():2000] communicating current version
2023-03-07 14:24:15,930 INFO    Thread-79 :806093 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-07 14:24:15,930 INFO    Thread-79 :806093 [wandb_init.py:init():728] starting run threads in backend
2023-03-07 14:24:19,336 INFO    Thread-79 :806093 [wandb_run.py:_console_start():1980] atexit reg
2023-03-07 14:24:19,336 INFO    Thread-79 :806093 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-03-07 14:24:19,336 INFO    Thread-79 :806093 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-03-07 14:24:19,336 INFO    Thread-79 :806093 [wandb_run.py:_redirect():1925] Redirects installed.
2023-03-07 14:24:19,336 INFO    Thread-79 :806093 [wandb_init.py:init():765] run started, returning control to user process
2023-03-07 14:26:46,352 INFO    Thread-79 :806093 [wandb_run.py:_finish():1746] finishing run xiaodan8/parsing/uiviz2v0
2023-03-07 14:26:46,352 INFO    Thread-79 :806093 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-03-07 14:26:46,352 INFO    Thread-79 :806093 [wandb_run.py:_restore():1932] restore
2023-03-07 14:26:46,352 INFO    Thread-79 :806093 [wandb_run.py:_restore():1938] restore done
2023-03-07 14:26:49,813 INFO    Thread-79 :806093 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-03-07 14:26:49,814 INFO    Thread-79 :806093 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-03-07 14:26:49,816 INFO    Thread-79 :806093 [wandb_run.py:_footer_sync_info():3333] logging synced files
